Fecha Alta,Operación,Provincia,Superficie,Precio Venta
2004-02-27,Venta,Tarragona,123,1128156
2004-02-27,Alquiler,Tarragona,134,1310520
2004-02-28,Alquiler,Barcelona,121,782870
2004-02-28,Venta,Girona,50,315550
2004-02-28,Venta,Girona,274,2028970
2004-02-28,Alquiler,Barcelona,76,734388
2004-02-28,Venta,Barcelona,109,779241
2004-02-29,Venta,Lleida,249,1492506
2004-03-01,Alquiler,Lleida,212,1800516
2004-03-01,Alquiler,Lleida,128,1259904
2004-03-02,Venta,Tarragona,172,1063648
2004-03-02,Venta,Lleida,68,434656
2004-03-02,Alquiler,Lleida,52,508924
2004-03-03,Alquiler,Girona,185,1403595
2004-03-03,Venta,Girona,284,1561432
2004-03-03,Venta,Tarragona,202,1891932
2004-03-03,Alquiler,Lleida,100,731700
2004-03-04,Venta,Lleida,106,563178
2004-03-04,Venta,Tarragona,211,875228
2004-03-04,Venta,Tarragona,165,1305480
2004-03-05,Alquiler,Lleida,251,1361675
2004-03-05,Venta,Tarragona,266,1161090
2004-03-05,Alquiler,Girona,287,1395681
2004-03-05,Venta,Tarragona,104,1001104
2004-03-06,Venta,Tarragona,250,2275500
2004-03-06,Venta,Girona,169,1370759
2004-03-06,Venta,Lleida,221,1842035
2004-03-07,Alquiler,Barcelona,286,2080078
2004-03-08,Alquiler,Lleida,73,597286
2004-03-08,Venta,Girona,144,1358640
2004-03-08,Alquiler,Tarragona,108,558252
2004-03-09,Venta,Girona,268,2400476
2004-03-09,Alquiler,Lleida,143,1131416
2004-03-10,Venta,Barcelona,52,416936
2004-03-10,Alquiler,Lleida,193,1658835
2004-03-11,Venta,Tarragona,148,1431012
2004-03-11,Venta,Tarragona,118,513300
2004-03-12,Venta,Barcelona,156,848328
2004-03-12,Alquiler,Tarragona,201,1874928
2004-03-12,Venta,Tarragona,42,367584
2004-03-13,Alquiler,Tarragona,162,1323054
2004-03-14,Alquiler,Girona,231,1446522
2004-03-14,Venta,Tarragona,273,1447992
2004-03-15,Venta,Barcelona,265,2109930
2004-03-16,Alquiler,Girona,87,779868
2004-03-16,Alquiler,Barcelona,95,919030
2004-03-16,Venta,Lleida,63,537264
2004-03-17,Venta,Girona,160,1261600
2004-03-17,Alquiler,Lleida,95,448210
2004-03-18,Alquiler,Tarragona,71,431325
2004-03-18,Venta,Girona,56,553616
2004-03-18,Venta,Tarragona,59,453651
2004-03-19,Alquiler,Girona,117,986895
2004-03-19,Venta,Girona,62,250852
2004-03-20,Alquiler,Barcelona,281,1336717
2004-03-20,Venta,Tarragona,87,519738
2004-03-21,Alquiler,Girona,174,720882
2004-03-21,Venta,Lleida,177,842343
2004-03-22,Venta,Tarragona,281,2108343
2004-03-22,Venta,Girona,247,1050985
2004-03-22,Alquiler,Girona,52,298272
2004-03-22,Alquiler,Girona,169,902798
2004-03-23,Alquiler,Barcelona,106,692180
2004-03-23,Venta,Girona,274,2002392
2004-03-23,Alquiler,Lleida,250,2253500
2004-03-23,Alquiler,Lleida,134,1338124
2004-03-23,Venta,Lleida,156,1369680
2004-03-24,Venta,Lleida,167,1643948
2004-03-24,Alquiler,Lleida,206,1297594
2004-03-25,Alquiler,Barcelona,269,2134246
2004-03-25,Alquiler,Barcelona,63,492156
2004-03-26,Alquiler,Lleida,223,1932518
2004-03-26,Venta,Girona,163,1385011
2004-03-27,Alquiler,Girona,214,1219158
2004-03-27,Venta,Tarragona,263,1494892
2004-03-28,Alquiler,Lleida,216,1398600
2004-03-29,Alquiler,Tarragona,65,461435
2004-03-29,Alquiler,Girona,46,351256
2004-03-30,Alquiler,Lleida,209,1042283
2004-03-30,Alquiler,Barcelona,56,474600
2004-03-30,Alquiler,Girona,82,420660
2004-03-31,Alquiler,Girona,62,489924
2004-03-31,Venta,Tarragona,192,1032000
2004-04-01,Alquiler,Barcelona,152,1069320
2004-04-01,Alquiler,Tarragona,182,1133132
2004-04-01,Venta,Lleida,179,1670965
2004-04-01,Venta,Girona,211,2010619
2004-04-01,Venta,Tarragona,117,739206
2004-04-02,Alquiler,Tarragona,186,1382166
2004-04-03,Alquiler,Barcelona,143,665951
2004-04-03,Venta,Tarragona,212,1479548
2004-04-03,Alquiler,Girona,246,1362348
2004-04-03,Venta,Girona,230,1722700
2004-04-03,Venta,Lleida,126,848358
2004-04-03,Venta,Girona,226,2104286
2004-04-05,Venta,Tarragona,262,1748850
2004-04-05,Alquiler,Barcelona,170,995520
2004-04-05,Alquiler,Lleida,268,2338032
2004-04-06,Venta,Barcelona,164,1298716
2004-04-06,Venta,Lleida,260,2038660
2004-04-07,Venta,Barcelona,69,656535
2004-04-07,Venta,Lleida,298,1870546
2004-04-07,Alquiler,Tarragona,284,1431076
2004-04-08,Venta,Barcelona,239,1176597
2004-04-09,Venta,Girona,287,1936102
2004-04-09,Alquiler,Barcelona,159,1582527
2004-04-09,Alquiler,Girona,136,873120
2004-04-09,Venta,Tarragona,223,2026401
2004-04-09,Alquiler,Lleida,175,747075
2004-04-09,Venta,Lleida,124,1130632
2004-04-09,Alquiler,Lleida,168,1622040
2004-04-10,Venta,Tarragona,106,567206
2004-04-10,Venta,Girona,67,379689
2004-04-10,Alquiler,Barcelona,49,424536
2004-04-10,Venta,Girona,238,1620304
2004-04-11,Alquiler,Lleida,261,1220697
2004-04-11,Alquiler,Barcelona,242,1099648
2004-04-11,Venta,Tarragona,138,1183212
2004-04-12,Alquiler,Tarragona,258,1750014
2004-04-12,Alquiler,Lleida,201,1107108
2004-04-12,Alquiler,Barcelona,181,1449629
2004-04-13,Alquiler,Barcelona,244,1006988
2004-04-14,Alquiler,Tarragona,258,1770912
2004-04-14,Venta,Barcelona,105,927255
2004-04-14,Alquiler,Tarragona,216,1125792
2004-04-14,Venta,Girona,204,1291116
2004-04-15,Alquiler,Girona,150,968250
2004-04-15,Venta,Lleida,52,446888
2004-04-15,Alquiler,Tarragona,223,1342906
2004-04-15,Alquiler,Lleida,237,1093281
2004-04-15,Venta,Lleida,270,2409210
2004-04-15,Alquiler,Lleida,120,722880
2004-04-15,Alquiler,Lleida,113,1102880
2004-04-16,Alquiler,Girona,193,1079449
2004-04-17,Alquiler,Girona,110,1039500
2004-04-17,Venta,Barcelona,209,2038586
2004-04-17,Alquiler,Girona,125,853750
2004-04-18,Venta,Girona,244,1414956
2004-04-18,Venta,Barcelona,154,881804
2004-04-18,Venta,Girona,258,1081278
2004-04-18,Venta,Girona,285,2534505
2004-04-18,Alquiler,Tarragona,137,1336298
2004-04-19,Alquiler,Girona,262,2404898
2004-04-19,Alquiler,Tarragona,143,712712
2004-04-19,Venta,Barcelona,65,523770
2004-04-19,Alquiler,Barcelona,225,1360800
2004-04-19,Alquiler,Lleida,177,924294
2004-04-20,Venta,Lleida,163,895359
2004-04-20,Alquiler,Girona,227,1437818
2004-04-21,Alquiler,Tarragona,295,1877675
2004-04-21,Venta,Barcelona,54,258444
2004-04-22,Venta,Girona,82,430418
2004-04-22,Venta,Girona,86,589960
2004-04-22,Venta,Girona,133,786695
2004-04-22,Alquiler,Barcelona,235,1773780
2004-04-23,Alquiler,Girona,288,2699136
2004-04-23,Venta,Barcelona,106,600596
2004-04-23,Venta,Girona,45,307170
2004-04-23,Alquiler,Tarragona,85,683230
2004-04-24,Alquiler,Tarragona,178,1458176
2004-04-24,Alquiler,Girona,211,1171894
2004-04-25,Venta,Girona,209,1728221
2004-04-26,Alquiler,Barcelona,298,2612566
2004-04-27,Venta,Girona,249,1150380
2004-04-27,Venta,Lleida,142,1055912
2004-04-27,Venta,Lleida,196,1645616
2004-04-28,Alquiler,Barcelona,228,1521216
2004-04-28,Alquiler,Lleida,237,1763517
2004-04-28,Venta,Lleida,121,792792
2004-04-28,Venta,Lleida,61,605425
2004-04-29,Venta,Girona,189,1579284
2004-04-30,Alquiler,Barcelona,91,391391
2004-04-30,Alquiler,Tarragona,230,1386900
2004-05-01,Alquiler,Barcelona,251,2439971
2004-05-02,Alquiler,Barcelona,261,2571111
2004-05-02,Alquiler,Barcelona,251,1754992
2004-05-02,Alquiler,Lleida,46,440772
2004-05-02,Venta,Tarragona,123,961368
2004-05-02,Alquiler,Girona,277,2456159
2004-05-03,Alquiler,Girona,190,977740
2004-05-03,Venta,Barcelona,42,255906
2004-05-03,Venta,Barcelona,237,1592166
2004-05-04,Alquiler,Barcelona,155,876060
2004-05-04,Venta,Girona,60,332400
2004-05-04,Alquiler,Barcelona,179,1227224
2004-05-04,Venta,Tarragona,180,1022040
2004-05-04,Venta,Barcelona,273,1369368
2004-05-04,Venta,Lleida,285,1922325
2004-05-05,Alquiler,Girona,125,1189250
2004-05-05,Alquiler,Barcelona,205,990355
2004-05-06,Alquiler,Girona,138,877680
2004-05-06,Venta,Barcelona,110,803000
2004-05-07,Alquiler,Tarragona,242,2110966
2004-05-07,Venta,Lleida,148,634920
2004-05-07,Alquiler,Tarragona,227,1394461
2004-05-08,Venta,Girona,102,413610
2004-05-08,Alquiler,Barcelona,41,361661
2004-05-09,Alquiler,Girona,75,683175
2004-05-10,Venta,Lleida,99,783783
2004-05-10,Venta,Tarragona,229,1990697
2004-05-10,Alquiler,Lleida,259,1992228
2004-05-10,Venta,Barcelona,175,1178100
2004-05-10,Venta,Barcelona,146,1083466
2004-05-11,Alquiler,Tarragona,131,1263495
2004-05-11,Venta,Tarragona,202,1320676
2004-05-11,Venta,Barcelona,173,851852
2004-05-11,Alquiler,Girona,187,1560889
2004-05-12,Venta,Tarragona,234,1398852
2004-05-13,Venta,Girona,103,680830
2004-05-13,Alquiler,Girona,75,418725
2004-05-14,Venta,Tarragona,241,2060550
2004-05-14,Alquiler,Tarragona,257,1980185
2004-05-14,Venta,Girona,122,885476
2004-05-14,Alquiler,Tarragona,209,1181686
2004-05-14,Alquiler,Lleida,154,830830
2004-05-15,Venta,Girona,196,1707944
2004-05-15,Venta,Barcelona,131,1180048
2004-05-15,Venta,Lleida,130,1176630
2004-05-16,Venta,Barcelona,156,896220
2004-05-17,Venta,Lleida,291,1505925
2004-05-18,Venta,Lleida,141,732495
2004-05-18,Alquiler,Girona,68,378624
2004-05-18,Venta,Lleida,267,1257036
2004-05-18,Alquiler,Tarragona,137,673355
2004-05-18,Venta,Lleida,137,961192
2004-05-18,Alquiler,Lleida,76,501220
2004-05-18,Venta,Girona,80,354320
2004-05-19,Alquiler,Barcelona,149,1238339
2004-05-19,Alquiler,Tarragona,285,1377975
2004-05-20,Venta,Barcelona,230,1109980
2004-05-20,Alquiler,Lleida,163,1317529
2004-05-21,Alquiler,Barcelona,131,822811
2004-05-21,Alquiler,Tarragona,167,895287
2004-05-22,Venta,Tarragona,230,1398630
2004-05-23,Alquiler,Lleida,247,1210053
2004-05-24,Alquiler,Barcelona,105,525210
2004-05-24,Alquiler,Girona,280,1680000
2004-05-24,Venta,Girona,108,812808
2004-05-25,Venta,Lleida,269,2586704
2004-05-25,Venta,Girona,123,775884
2004-05-26,Alquiler,Lleida,264,2582184
2004-05-26,Alquiler,Lleida,298,1331166
2004-05-26,Venta,Barcelona,200,1823400
2004-05-26,Venta,Barcelona,197,1746405
2004-05-26,Alquiler,Girona,184,830760
2004-05-27,Venta,Barcelona,119,486472
2004-05-28,Alquiler,Girona,137,835152
2004-05-29,Alquiler,Tarragona,196,882784
2004-05-30,Alquiler,Tarragona,65,389350
2004-05-30,Venta,Girona,300,1483500
2004-05-30,Alquiler,Barcelona,202,1560450
2004-05-31,Venta,Girona,225,1164375
2004-05-31,Alquiler,Barcelona,203,946792
2004-05-31,Alquiler,Girona,192,1159296
2004-05-31,Alquiler,Lleida,296,1602544
2004-06-01,Venta,Barcelona,177,933321
2004-06-01,Venta,Girona,72,427824
2004-06-01,Venta,Tarragona,65,483860
2004-06-01,Venta,Tarragona,208,1225120
2004-06-02,Alquiler,Barcelona,271,2682900
2004-06-02,Alquiler,Lleida,278,2188138
2004-06-02,Venta,Girona,90,770040
2004-06-03,Alquiler,Lleida,72,702576
2004-06-03,Venta,Tarragona,224,1804992
2004-06-03,Venta,Barcelona,207,1883700
2004-06-03,Venta,Barcelona,162,1383480
2004-06-04,Alquiler,Barcelona,74,729788
2004-06-04,Venta,Girona,293,1750089
2004-06-04,Alquiler,Lleida,46,435252
2004-06-05,Venta,Girona,90,742770
2004-06-05,Venta,Girona,148,1268952
2004-06-05,Alquiler,Tarragona,189,1527498
2004-06-06,Venta,Lleida,56,425432
2004-06-06,Venta,Barcelona,46,386584
2004-06-07,Alquiler,Lleida,201,1287807
2004-06-07,Venta,Barcelona,254,1381506
2004-06-07,Alquiler,Girona,287,2452989
2004-06-07,Venta,Girona,174,952302
2004-06-08,Alquiler,Lleida,114,1019160
2004-06-09,Venta,Barcelona,135,1209735
2004-06-09,Alquiler,Barcelona,126,637308
2004-06-09,Alquiler,Barcelona,260,1090180
2004-06-09,Venta,Barcelona,261,1945755
2004-06-09,Venta,Girona,173,1117753
2004-06-09,Alquiler,Lleida,207,1042659
2004-06-10,Venta,Barcelona,81,583362
2004-06-10,Alquiler,Lleida,52,338364
2004-06-11,Alquiler,Tarragona,271,2190493
2004-06-11,Venta,Tarragona,249,1388175
2004-06-11,Alquiler,Tarragona,153,1116441
2004-06-12,Alquiler,Lleida,205,1980300
2004-06-13,Venta,Tarragona,144,852480
2004-06-13,Alquiler,Tarragona,246,1898628
2004-06-13,Alquiler,Girona,233,1541528
2004-06-13,Venta,Tarragona,105,783195
2004-06-14,Venta,Girona,107,909821
2004-06-14,Venta,Barcelona,158,1543344
2004-06-15,Alquiler,Girona,298,2524358
2004-06-15,Venta,Barcelona,115,1077665
2004-06-16,Venta,Barcelona,102,790602
2004-06-16,Venta,Tarragona,211,872063
2004-06-17,Alquiler,Girona,245,1001070
2004-06-17,Venta,Barcelona,102,1005312
2004-06-17,Alquiler,Girona,44,189156
2004-06-17,Alquiler,Tarragona,57,419178
2004-06-17,Alquiler,Lleida,263,1779458
2004-06-17,Alquiler,Girona,234,1159470
2004-06-17,Venta,Girona,118,788948
2004-06-18,Alquiler,Lleida,248,1674744
2004-06-18,Venta,Barcelona,54,406998
2004-06-19,Venta,Lleida,215,2097970
2004-06-19,Venta,Girona,185,1616900
2004-06-19,Alquiler,Barcelona,72,458568
2004-06-20,Alquiler,Barcelona,244,2439512
2004-06-20,Venta,Lleida,195,1797120
2004-06-20,Alquiler,Lleida,104,511680
2004-06-20,Alquiler,Barcelona,71,587880
2004-06-21,Venta,Girona,107,590426
2004-06-22,Alquiler,Barcelona,77,322322
2004-06-22,Venta,Girona,90,412740
2004-06-22,Alquiler,Lleida,204,924732
2004-06-23,Venta,Girona,214,1962380
2004-06-24,Alquiler,Girona,143,836836
2004-06-24,Alquiler,Lleida,268,2628812
2004-06-24,Alquiler,Tarragona,44,242704
2004-06-24,Venta,Girona,126,520758
2004-06-24,Venta,Tarragona,215,870105
2004-06-24,Alquiler,Barcelona,65,546780
2004-06-25,Venta,Tarragona,191,875544
2004-06-25,Venta,Lleida,155,801350
2004-06-25,Venta,Tarragona,297,1820016
2004-06-25,Alquiler,Lleida,105,872760
2004-06-25,Venta,Girona,199,1622646
2004-06-25,Alquiler,Tarragona,136,568480
2004-06-26,Alquiler,Lleida,88,851488
2004-06-28,Alquiler,Lleida,86,855442
2004-06-28,Alquiler,Lleida,189,913248
2004-06-28,Venta,Girona,232,1028224
2004-06-28,Venta,Lleida,58,530816
2004-06-29,Alquiler,Barcelona,257,1166780
2004-06-29,Venta,Tarragona,243,1983123
2004-06-29,Venta,Lleida,134,946710
2004-06-30,Venta,Girona,153,1506438
2004-06-30,Alquiler,Tarragona,122,1093608
2004-06-30,Venta,Girona,283,2199476
2004-06-30,Venta,Lleida,261,2475063
2004-07-01,Alquiler,Lleida,185,1306840
2004-07-01,Venta,Tarragona,60,253920
2004-07-02,Alquiler,Barcelona,234,1911312
2004-07-02,Alquiler,Girona,62,358670
2004-07-03,Venta,Lleida,282,1298328
2004-07-03,Alquiler,Lleida,299,1948583
2004-07-03,Venta,Barcelona,274,1729762
2004-07-03,Venta,Barcelona,268,2578696
2004-07-03,Alquiler,Lleida,155,1166065
2004-07-03,Venta,Girona,209,1316073
2004-07-03,Alquiler,Tarragona,110,1004740
2004-07-04,Venta,Barcelona,61,531432
2004-07-04,Alquiler,Lleida,240,2238000
2004-07-05,Venta,Lleida,229,965006
2004-07-05,Alquiler,Lleida,224,2087904
2004-07-05,Venta,Barcelona,72,647352
2004-07-05,Venta,Lleida,186,1216254
2004-07-05,Venta,Tarragona,172,860172
2004-07-05,Alquiler,Tarragona,235,1207195
2004-07-05,Alquiler,Tarragona,159,1032546
2004-07-05,Venta,Barcelona,271,2297538
2004-07-06,Venta,Tarragona,80,428240
2004-07-06,Alquiler,Barcelona,227,1175860
2004-07-06,Venta,Lleida,40,258560
2004-07-06,Alquiler,Tarragona,239,1782940
2004-07-06,Alquiler,Barcelona,191,1841622
2004-07-07,Venta,Tarragona,76,741228
2004-07-08,Alquiler,Barcelona,47,262777
2004-07-08,Alquiler,Barcelona,119,720902
2004-07-08,Venta,Girona,174,1313526
2004-07-08,Venta,Girona,108,638064
2004-07-09,Alquiler,Barcelona,123,682773
2004-07-09,Alquiler,Lleida,42,279342
2004-07-09,Venta,Barcelona,105,740355
2004-07-09,Venta,Lleida,223,1293400
2004-07-09,Alquiler,Girona,270,1429380
2004-07-10,Alquiler,Barcelona,159,1536576
2004-07-10,Venta,Lleida,280,1249360
2004-07-11,Venta,Girona,162,1594404
2004-07-11,Alquiler,Barcelona,231,935781
2004-07-12,Alquiler,Lleida,231,2273040
2004-07-12,Alquiler,Lleida,206,1414602
2004-07-12,Venta,Lleida,86,446856
2004-07-12,Alquiler,Barcelona,112,712768
2004-07-12,Alquiler,Lleida,182,999726
2004-07-13,Venta,Tarragona,72,606024
2004-07-14,Venta,Girona,62,410316
2004-07-14,Alquiler,Lleida,280,1730680
2004-07-14,Venta,Girona,197,1292123
2004-07-14,Alquiler,Girona,117,1031121
2004-07-15,Alquiler,Girona,279,2161134
2004-07-16,Alquiler,Barcelona,111,761793
2004-07-16,Alquiler,Tarragona,87,565587
2004-07-16,Alquiler,Girona,62,251596
2004-07-16,Venta,Barcelona,182,1514968
2004-07-16,Venta,Tarragona,101,564186
2004-07-17,Venta,Tarragona,79,694331
2004-07-18,Venta,Lleida,82,419348
2004-07-20,Venta,Lleida,65,628095
2004-07-20,Alquiler,Girona,200,1000000
2004-07-20,Venta,Barcelona,286,2330042
2004-07-20,Venta,Girona,237,1403988
2004-07-21,Alquiler,Lleida,275,1711325
2004-07-21,Alquiler,Girona,237,2215002
2004-07-21,Venta,Barcelona,125,804625
2004-07-21,Venta,Barcelona,209,1568754
2004-07-21,Venta,Barcelona,141,867009
2004-07-22,Venta,Girona,138,1289748
2004-07-22,Venta,Lleida,57,567492
2004-07-23,Alquiler,Girona,198,1916442
2004-07-24,Alquiler,Girona,246,1875012
2004-07-24,Alquiler,Tarragona,188,1590104
2004-07-25,Alquiler,Tarragona,285,1412175
2004-07-25,Alquiler,Lleida,53,280741
2004-07-25,Alquiler,Girona,161,960526
2004-07-25,Venta,Barcelona,237,1272216
2004-07-25,Alquiler,Lleida,112,513968
2004-07-25,Venta,Barcelona,147,917868
2004-07-26,Alquiler,Girona,266,1881950
2004-07-26,Venta,Barcelona,98,469910
2004-07-26,Venta,Lleida,153,639999
2004-07-26,Alquiler,Tarragona,167,700398
2004-07-27,Alquiler,Lleida,79,659808
2004-07-27,Alquiler,Tarragona,44,322036
2004-07-28,Alquiler,Tarragona,235,1897155
2004-07-28,Venta,Tarragona,243,1038825
2004-07-28,Alquiler,Lleida,58,251430
2004-07-28,Alquiler,Barcelona,280,1877400
2004-07-29,Venta,Barcelona,54,435348
2004-07-29,Venta,Barcelona,154,889658
2004-07-29,Venta,Girona,221,1571973
2004-07-29,Venta,Girona,148,811780
2004-07-30,Venta,Tarragona,226,1634884
2004-07-30,Venta,Tarragona,230,1742020
2004-07-31,Venta,Lleida,290,2584480
2004-07-31,Venta,Tarragona,297,1767744
2004-08-01,Alquiler,Girona,257,1077601
2004-08-01,Alquiler,Girona,161,1050203
2004-08-01,Alquiler,Lleida,77,613921
2004-08-02,Alquiler,Barcelona,184,1286344
2004-08-02,Alquiler,Tarragona,56,469168
2004-08-02,Venta,Tarragona,138,1372686
2004-08-03,Venta,Tarragona,95,627570
2004-08-03,Alquiler,Girona,46,435712
2004-08-03,Alquiler,Girona,145,999630
2004-08-04,Venta,Tarragona,213,1234974
2004-08-04,Alquiler,Tarragona,171,1148436
2004-08-04,Venta,Barcelona,262,1343798
2004-08-04,Venta,Lleida,62,358360
2004-08-05,Venta,Lleida,71,323760
2004-08-06,Venta,Lleida,94,735456
2004-08-08,Alquiler,Lleida,76,738568
2004-08-08,Alquiler,Barcelona,289,1275646
2004-08-08,Alquiler,Girona,147,919632
2004-08-09,Venta,Girona,227,1218763
2004-08-09,Alquiler,Barcelona,174,1408182
2004-08-10,Alquiler,Lleida,149,704323
2004-08-10,Alquiler,Lleida,212,1817264
2004-08-10,Alquiler,Lleida,45,360765
2004-08-10,Venta,Barcelona,49,418019
2004-08-11,Venta,Lleida,210,1117620
2004-08-11,Venta,Lleida,287,1790880
2004-08-11,Venta,Barcelona,127,1058545
2004-08-11,Venta,Barcelona,294,2658936
