Fecha Alta,Referencia,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
2004-03-05,165,Industrial,Venta,Tarragona,104,1001104,2004-10-11,Luisa
2004-03-06,166,Oficina,Venta,Tarragona,250,2275500,2004-07-29,Luisa
2004-03-06,167,Parking,Venta,Girona,169,1370759,2005-01-14,Luisa
2004-03-06,168,Suelo,Venta,Lleida,221,1842035,2004-10-15,Joaquín
2004-03-08,171,Suelo,Venta,Girona,144,1358640,2004-11-13,Joaquín
2004-03-09,173,Oficina,Venta,Girona,268,2400476,2005-03-08,Joaquín
2004-03-10,175,Local,Venta,Barcelona,52,416936,2004-08-25,Carmen
2004-03-11,177,Suelo,Venta,Tarragona,148,1431012,2004-09-01,Jesús
2004-03-11,178,Local,Venta,Tarragona,118,513300,2004-10-26,María
2004-03-12,179,Industrial,Venta,Barcelona,156,848328,2005-02-27,Jesús
2004-03-12,181,Oficina,Venta,Tarragona,42,367584,2004-08-11,Joaquín
2004-03-14,184,Suelo,Venta,Tarragona,273,1447992,2004-10-24,Pedro
2004-03-15,185,Industrial,Venta,Barcelona,265,2109930,2004-08-27,María
2004-03-16,188,Casa,Venta,Lleida,63,537264,2005-02-08,Carmen
2004-03-17,189,Parking,Venta,Girona,160,1261600,2004-10-25,Jesús
2004-03-18,192,Local,Venta,Girona,56,553616,2005-03-09,Pedro
2004-03-18,193,Suelo,Venta,Tarragona,59,453651,2004-10-07,María
2004-03-19,195,Piso,Venta,Girona,62,250852,2004-07-21,Carmen
2004-03-20,197,Piso,Venta,Tarragona,87,519738,2005-01-13,Carmen
2004-03-21,199,Oficina,Venta,Lleida,177,842343,2005-03-10,María
2004-03-22,200,Parking,Venta,Tarragona,281,2108343,2004-09-26,Pedro
2004-03-22,201,Parking,Venta,Girona,247,1050985,2004-11-09,Pedro
2004-03-23,205,Local,Venta,Girona,274,2002392,2004-12-04,Luisa
2004-03-23,208,Casa,Venta,Lleida,156,1369680,2004-09-27,Pedro
2004-03-24,209,Parking,Venta,Lleida,167,1643948,2004-09-21,María
2004-03-26,214,Industrial,Venta,Girona,163,1385011,2004-08-26,Carmen
2004-03-27,216,Industrial,Venta,Tarragona,263,1494892,2005-02-02,María
2004-03-31,224,Oficina,Venta,Tarragona,192,1032000,2004-08-21,Luisa
2004-04-01,227,Casa,Venta,Lleida,179,1670965,2004-09-09,Luisa
2004-04-01,228,Local,Venta,Girona,211,2010619,2004-11-12,Jesús
2004-04-01,229,Oficina,Venta,Tarragona,117,739206,2005-01-25,Carmen
2004-04-03,232,Oficina,Venta,Tarragona,212,1479548,2004-11-03,María
2004-04-03,234,Suelo,Venta,Girona,230,1722700,2005-03-26,Carmen
2004-04-03,235,Suelo,Venta,Lleida,126,848358,2004-11-02,Pedro
2004-04-03,236,Industrial,Venta,Girona,226,2104286,2004-08-26,Carmen
2004-04-05,237,Piso,Venta,Tarragona,262,1748850,2004-10-07,Pedro
2004-04-06,240,Parking,Venta,Barcelona,164,1298716,2004-12-03,Luisa
2004-04-06,241,Local,Venta,Lleida,260,2038660,2004-07-26,Carmen
2004-04-07,242,Suelo,Venta,Barcelona,69,656535,2004-08-16,Jesús
2004-04-07,243,Local,Venta,Lleida,298,1870546,2005-03-31,Luisa
2004-04-08,245,Casa,Venta,Barcelona,239,1176597,2004-07-07,Joaquín
2004-04-09,246,Local,Venta,Girona,287,1936102,2005-04-08,Jesús
2004-04-09,249,Industrial,Venta,Tarragona,223,2026401,2004-12-13,Joaquín
2004-04-09,251,Suelo,Venta,Lleida,124,1130632,2005-01-22,Pedro
2004-04-10,253,Parking,Venta,Tarragona,106,567206,2004-08-08,María
2004-04-10,254,Piso,Venta,Girona,67,379689,2004-10-29,Pedro
2004-04-10,256,Industrial,Venta,Girona,238,1620304,2004-10-05,Carmen
2004-04-11,259,Parking,Venta,Tarragona,138,1183212,2005-02-26,Luisa
2004-04-14,265,Parking,Venta,Barcelona,105,927255,2004-11-21,Luisa
2004-04-14,267,Casa,Venta,Girona,204,1291116,2004-09-27,Carmen
2004-04-15,269,Parking,Venta,Lleida,52,446888,2004-09-01,María
2004-04-15,272,Suelo,Venta,Lleida,270,2409210,2004-09-03,Carmen
2004-04-17,277,Parking,Venta,Barcelona,209,2038586,2005-01-06,Jesús
2004-04-18,279,Suelo,Venta,Girona,244,1414956,2005-02-26,María
2004-04-18,280,Oficina,Venta,Barcelona,154,881804,2004-08-25,Pedro
2004-04-18,281,Oficina,Venta,Girona,258,1081278,2005-04-13,Carmen
2004-04-18,282,Casa,Venta,Girona,285,2534505,2004-12-28,Jesús
2004-04-19,286,Industrial,Venta,Barcelona,65,523770,2005-01-24,Jesús
2004-04-20,289,Suelo,Venta,Lleida,163,895359,2005-02-17,Pedro
2004-04-21,292,Parking,Venta,Barcelona,54,258444,2005-03-08,Pedro
2004-04-22,293,Parking,Venta,Girona,82,430418,2005-02-09,Luisa
2004-04-22,294,Oficina,Venta,Girona,86,589960,2005-03-18,Carmen
2004-04-22,295,Oficina,Venta,Girona,133,786695,2004-11-21,Luisa
2004-04-23,298,Industrial,Venta,Barcelona,106,600596,2004-11-23,Luisa
2004-04-23,299,Industrial,Venta,Girona,45,307170,2005-04-16,Joaquín
2004-04-25,303,Oficina,Venta,Girona,209,1728221,2004-08-30,Carmen
2004-04-27,305,Oficina,Venta,Girona,249,1150380,2004-11-18,Joaquín
2004-04-27,306,Piso,Venta,Lleida,142,1055912,2004-09-28,Jesús
2004-04-27,307,Industrial,Venta,Lleida,196,1645616,2005-04-14,Carmen
2004-04-28,310,Industrial,Venta,Lleida,121,792792,2004-09-23,Pedro
2004-04-28,311,Suelo,Venta,Lleida,61,605425,2004-12-29,Carmen
2004-04-29,312,Industrial,Venta,Girona,189,1579284,2005-01-07,Luisa
2004-05-02,319,Piso,Venta,Tarragona,123,961368,2004-09-04,Luisa
2004-05-03,322,Suelo,Venta,Barcelona,42,255906,2004-11-09,María
2004-05-03,323,Parking,Venta,Barcelona,237,1592166,2004-10-15,María
2004-05-04,325,Piso,Venta,Girona,60,332400,2004-08-30,Joaquín
2004-05-04,327,Suelo,Venta,Tarragona,180,1022040,2005-03-28,Jesús
2004-05-04,328,Suelo,Venta,Barcelona,273,1369368,2005-04-17,Jesús
2004-05-04,329,Industrial,Venta,Lleida,285,1922325,2004-11-11,María
2004-05-06,333,Piso,Venta,Barcelona,110,803000,2004-08-25,Jesús
2004-05-07,335,Piso,Venta,Lleida,148,634920,2005-04-27,Joaquín
2004-05-08,337,Oficina,Venta,Girona,102,413610,2004-09-15,Pedro
2004-05-10,340,Suelo,Venta,Lleida,99,783783,2004-12-01,Jesús
2004-05-10,341,Casa,Venta,Tarragona,229,1990697,2004-11-02,Pedro
2004-05-10,343,Parking,Venta,Barcelona,175,1178100,2004-11-12,Luisa
2004-05-10,344,Casa,Venta,Barcelona,146,1083466,2004-09-19,Jesús
2004-05-11,346,Local,Venta,Tarragona,202,1320676,2004-12-23,Pedro
2004-05-11,347,Industrial,Venta,Barcelona,173,851852,2004-09-18,Carmen
2004-05-12,349,Parking,Venta,Tarragona,234,1398852,2004-11-01,María
2004-05-13,350,Oficina,Venta,Girona,103,680830,2004-09-21,María
2004-05-14,352,Casa,Venta,Tarragona,241,2060550,2004-10-10,Luisa
2004-05-14,354,Piso,Venta,Girona,122,885476,2005-03-30,Carmen
2004-05-15,357,Suelo,Venta,Girona,196,1707944,2004-08-19,Pedro
2004-05-15,358,Piso,Venta,Barcelona,131,1180048,2004-11-04,Joaquín
2004-05-15,359,Parking,Venta,Lleida,130,1176630,2005-03-18,Jesús
2004-05-16,360,Local,Venta,Barcelona,156,896220,2005-03-19,Luisa
2004-05-17,361,Local,Venta,Lleida,291,1505925,2005-03-10,Luisa
2004-05-18,362,Casa,Venta,Lleida,141,732495,2004-12-02,Luisa
2004-05-18,364,Local,Venta,Lleida,267,1257036,2004-12-26,Luisa
2004-05-18,366,Oficina,Venta,Lleida,137,961192,2005-05-10,Jesús
2004-05-18,368,Casa,Venta,Girona,80,354320,2004-10-18,Carmen
2004-05-20,371,Oficina,Venta,Barcelona,230,1109980,2004-12-08,Luisa
2004-05-22,375,Local,Venta,Tarragona,230,1398630,2005-04-10,María
2004-05-24,379,Piso,Venta,Girona,108,812808,2004-10-13,Jesús
2004-05-25,380,Local,Venta,Lleida,269,2586704,2005-03-27,Carmen
2004-05-25,381,Casa,Venta,Girona,123,775884,2004-10-21,Joaquín
2004-05-26,384,Parking,Venta,Barcelona,200,1823400,2004-10-20,Joaquín
2004-05-26,385,Parking,Venta,Barcelona,197,1746405,2005-03-20,Luisa
2004-05-27,387,Oficina,Venta,Barcelona,119,486472,2004-09-04,Joaquín
2004-05-30,391,Suelo,Venta,Girona,300,1483500,2005-03-29,Carmen
2004-05-31,393,Piso,Venta,Girona,225,1164375,2005-03-04,Pedro
2004-06-01,397,Parking,Venta,Barcelona,177,933321,2005-05-10,Joaquín
2004-06-01,398,Industrial,Venta,Girona,72,427824,2004-11-08,Luisa
2004-06-01,399,Industrial,Venta,Tarragona,65,483860,2005-01-24,Pedro
2004-06-01,400,Parking,Venta,Tarragona,208,1225120,2005-01-22,Carmen
2004-06-02,403,Piso,Venta,Girona,90,770040,2005-04-26,Jesús
2004-06-03,405,Local,Venta,Tarragona,224,1804992,2005-01-20,Jesús
2004-06-03,406,Oficina,Venta,Barcelona,207,1883700,2005-02-23,Carmen
2004-06-03,407,Industrial,Venta,Barcelona,162,1383480,2004-12-16,María
2004-06-04,409,Parking,Venta,Girona,293,1750089,2005-04-05,Luisa
2004-06-05,411,Local,Venta,Girona,90,742770,2004-11-27,Luisa
2004-06-05,412,Local,Venta,Girona,148,1268952,2004-10-14,María
2004-06-06,414,Suelo,Venta,Lleida,56,425432,2004-09-23,Luisa
2004-06-06,415,Parking,Venta,Barcelona,46,386584,2004-12-17,Carmen
2004-06-07,417,Suelo,Venta,Barcelona,254,1381506,2005-04-14,Luisa
2004-06-07,419,Parking,Venta,Girona,174,952302,2004-12-06,Luisa
2004-06-09,421,Suelo,Venta,Barcelona,135,1209735,2005-05-05,Pedro
2004-06-09,424,Parking,Venta,Barcelona,261,1945755,2004-11-06,Jesús
2004-06-09,425,Casa,Venta,Girona,173,1117753,2004-12-11,María
2004-06-10,427,Piso,Venta,Barcelona,81,583362,2005-05-04,Carmen
2004-06-11,430,Oficina,Venta,Tarragona,249,1388175,2004-10-29,Luisa
2004-06-13,433,Suelo,Venta,Tarragona,144,852480,2005-06-04,Carmen
2004-06-13,436,Suelo,Venta,Tarragona,105,783195,2004-11-20,Carmen
2004-06-14,437,Parking,Venta,Girona,107,909821,2005-05-03,Luisa
2004-06-14,438,Oficina,Venta,Barcelona,158,1543344,2004-12-26,Luisa
2004-06-15,440,Parking,Venta,Barcelona,115,1077665,2004-09-19,Jesús
2004-06-16,441,Parking,Venta,Barcelona,102,790602,2004-11-09,Carmen
2004-06-16,442,Parking,Venta,Tarragona,211,872063,2005-02-26,Pedro
2004-06-17,444,Parking,Venta,Barcelona,102,1005312,2005-06-09,Luisa
2004-06-17,449,Local,Venta,Girona,118,788948,2005-04-08,Pedro
2004-06-18,451,Oficina,Venta,Barcelona,54,406998,2005-04-25,Joaquín
2004-06-19,452,Suelo,Venta,Lleida,215,2097970,2004-11-13,Pedro
2004-06-19,453,Suelo,Venta,Girona,185,1616900,2005-04-08,Jesús
2004-06-20,456,Piso,Venta,Lleida,195,1797120,2004-12-31,María
2004-06-21,459,Oficina,Venta,Girona,107,590426,2004-11-03,María
2004-06-22,461,Casa,Venta,Girona,90,412740,2004-09-26,María
2004-06-23,463,Casa,Venta,Girona,214,1962380,2005-06-01,Pedro
2004-06-24,467,Local,Venta,Girona,126,520758,2005-06-16,Pedro
2004-06-24,468,Local,Venta,Tarragona,215,870105,2005-04-02,Jesús
2004-06-25,470,Parking,Venta,Tarragona,191,875544,2004-11-01,Jesús
2004-06-25,471,Casa,Venta,Lleida,155,801350,2005-01-14,Pedro
2004-06-25,472,Suelo,Venta,Tarragona,297,1820016,2005-01-08,María
2004-06-25,474,Suelo,Venta,Girona,199,1622646,2005-06-23,Jesús
2004-06-28,479,Oficina,Venta,Girona,232,1028224,2005-05-26,Luisa
2004-06-28,480,Suelo,Venta,Lleida,58,530816,2004-10-07,Luisa
2004-06-29,482,Industrial,Venta,Tarragona,243,1983123,2005-06-16,María
2004-06-29,483,Oficina,Venta,Lleida,134,946710,2005-01-04,Carmen
2004-06-30,484,Casa,Venta,Girona,153,1506438,2004-12-03,Luisa
2004-06-30,486,Piso,Venta,Girona,283,2199476,2005-06-04,Luisa
2004-06-30,487,Casa,Venta,Lleida,261,2475063,2005-01-21,Carmen
2004-07-01,489,Casa,Venta,Tarragona,60,253920,2005-01-30,Luisa
2004-07-03,492,Local,Venta,Lleida,282,1298328,2005-03-10,Jesús
2004-07-03,494,Piso,Venta,Barcelona,274,1729762,2005-07-03,Luisa
2004-07-03,495,Oficina,Venta,Barcelona,268,2578696,2005-06-28,Luisa
2004-07-03,497,Oficina,Venta,Girona,209,1316073,2005-04-02,Pedro
2004-07-04,499,Casa,Venta,Barcelona,61,531432,2005-05-22,Joaquín
2004-07-05,501,Casa,Venta,Lleida,229,965006,2005-02-02,Pedro
2004-07-05,503,Piso,Venta,Barcelona,72,647352,2005-06-07,María
2004-07-05,504,Oficina,Venta,Lleida,186,1216254,2005-04-09,María
2004-07-05,505,Industrial,Venta,Tarragona,172,860172,2005-05-16,Luisa
2004-07-05,508,Local,Venta,Barcelona,271,2297538,2004-11-22,Jesús
2004-07-06,509,Parking,Venta,Tarragona,80,428240,2005-02-01,Pedro
2004-07-06,511,Industrial,Venta,Lleida,40,258560,2005-03-22,Jesús
2004-07-07,514,Casa,Venta,Tarragona,76,741228,2004-12-28,Luisa
2004-07-08,517,Industrial,Venta,Girona,174,1313526,2005-01-16,Pedro
2004-07-08,518,Casa,Venta,Girona,108,638064,2004-10-24,Luisa
2004-07-09,521,Parking,Venta,Barcelona,105,740355,2004-12-08,Luisa
2004-07-09,522,Casa,Venta,Lleida,223,1293400,2005-03-03,Carmen
2004-07-10,525,Parking,Venta,Lleida,280,1249360,2005-01-09,Pedro
2004-07-11,526,Parking,Venta,Girona,162,1594404,2005-03-07,María
2004-07-12,530,Local,Venta,Lleida,86,446856,2005-06-12,María
2004-07-13,533,Parking,Venta,Tarragona,72,606024,2005-04-12,Carmen
2004-07-14,534,Oficina,Venta,Girona,62,410316,2004-12-27,Luisa
2004-07-14,536,Casa,Venta,Girona,197,1292123,2005-06-30,Joaquín
2004-07-16,542,Oficina,Venta,Barcelona,182,1514968,2004-10-24,María
2004-07-16,543,Industrial,Venta,Tarragona,101,564186,2005-01-21,Pedro
2004-07-17,544,Oficina,Venta,Tarragona,79,694331,2005-03-10,Carmen
2004-07-18,545,Local,Venta,Lleida,82,419348,2005-03-12,Jesús
2004-07-20,546,Industrial,Venta,Lleida,65,628095,2005-03-08,María
2004-07-20,548,Parking,Venta,Barcelona,286,2330042,2004-10-21,Carmen
2004-07-20,549,Local,Venta,Girona,237,1403988,2005-06-27,Carmen
2004-07-21,552,Local,Venta,Barcelona,125,804625,2005-06-26,Carmen
2004-07-21,553,Oficina,Venta,Barcelona,209,1568754,2004-12-15,Pedro
2004-07-21,554,Parking,Venta,Barcelona,141,867009,2004-11-21,Joaquín
2004-07-22,555,Piso,Venta,Girona,138,1289748,2004-12-25,Luisa
2004-07-22,556,Suelo,Venta,Lleida,57,567492,2005-02-08,Carmen
2004-07-25,563,Piso,Venta,Barcelona,237,1272216,2005-04-27,Jesús
2004-07-25,565,Suelo,Venta,Barcelona,147,917868,2004-11-15,Joaquín
2004-07-26,567,Local,Venta,Barcelona,98,469910,2005-01-08,Joaquín
2004-07-26,568,Local,Venta,Lleida,153,639999,2005-05-11,Luisa
2004-07-28,573,Parking,Venta,Tarragona,243,1038825,2004-12-14,Jesús
2004-07-29,576,Casa,Venta,Barcelona,54,435348,2005-02-20,Pedro
2004-07-29,577,Oficina,Venta,Barcelona,154,889658,2005-06-22,Joaquín
2004-07-29,578,Oficina,Venta,Girona,221,1571973,2004-12-25,Joaquín
2004-07-29,579,Industrial,Venta,Girona,148,811780,2005-04-17,Luisa
2004-07-30,580,Parking,Venta,Tarragona,226,1634884,2005-07-20,María
2004-07-30,581,Casa,Venta,Tarragona,230,1742020,2004-11-16,Jesús
2004-07-31,582,Industrial,Venta,Lleida,290,2584480,2004-11-22,Jesús
2004-07-31,583,Local,Venta,Tarragona,297,1767744,2005-03-23,Pedro
2004-08-02,589,Oficina,Venta,Tarragona,138,1372686,2005-06-17,Carmen
2004-08-03,590,Suelo,Venta,Tarragona,95,627570,2005-03-16,Carmen
2004-08-04,593,Suelo,Venta,Tarragona,213,1234974,2005-06-23,Carmen
2004-08-04,595,Industrial,Venta,Barcelona,262,1343798,2005-04-15,Jesús
2004-08-04,596,Parking,Venta,Lleida,62,358360,2005-07-23,Luisa
2004-08-05,597,Casa,Venta,Lleida,71,323760,2005-03-15,María
2004-08-06,598,Casa,Venta,Lleida,94,735456,2005-05-02,María
2004-08-09,602,Industrial,Venta,Girona,227,1218763,2005-07-27,Joaquín
2004-08-10,607,Parking,Venta,Barcelona,49,418019,2005-02-22,Pedro
2004-08-11,608,Suelo,Venta,Lleida,210,1117620,2005-05-12,Carmen
2004-08-11,609,Suelo,Venta,Lleida,287,1790880,2004-11-18,Pedro
2004-08-11,610,Local,Venta,Barcelona,127,1058545,2005-01-23,Joaquín
2004-08-11,611,Casa,Venta,Barcelona,294,2658936,2005-06-21,Luisa
2004-08-11,613,Industrial,Venta,Barcelona,225,1879200,2004-11-19,Pedro
2004-08-12,615,Local,Venta,Lleida,283,1992320,2005-04-07,María
2004-08-13,617,Piso,Venta,Lleida,172,1283980,2005-01-27,Carmen
2004-08-14,621,Industrial,Venta,Tarragona,223,2171128,2005-03-23,Carmen
2004-08-14,622,Piso,Venta,Barcelona,123,1116348,2005-06-29,Luisa
2004-08-15,623,Local,Venta,Tarragona,72,577656,2005-07-30,María
2004-08-15,624,Industrial,Venta,Tarragona,154,1122352,2005-05-11,Jesús
2004-08-17,629,Piso,Venta,Girona,249,1427019,2004-12-04,Jesús
2004-08-17,632,Piso,Venta,Girona,201,1816437,2005-05-10,Pedro
2004-08-18,638,Casa,Venta,Tarragona,116,915704,2005-01-27,María
2004-08-19,641,Oficina,Venta,Girona,249,2306238,2005-03-02,María
2004-08-20,642,Industrial,Venta,Girona,119,711382,2005-08-01,Luisa
2004-08-20,645,Industrial,Venta,Tarragona,227,1917696,2005-02-22,Joaquín
2004-08-21,647,Piso,Venta,Barcelona,67,346256,2005-05-18,Luisa
2004-08-21,648,Oficina,Venta,Girona,267,1153173,2005-03-28,Pedro
2004-08-22,650,Parking,Venta,Lleida,80,777360,2005-04-21,Carmen
2004-08-22,651,Piso,Venta,Girona,207,1015956,2005-06-17,Jesús
2004-08-22,653,Piso,Venta,Tarragona,147,730149,2004-12-25,Carmen
2004-08-22,655,Oficina,Venta,Girona,293,2787016,2005-03-23,Luisa
2004-08-23,656,Oficina,Venta,Tarragona,252,1773072,2005-04-01,Luisa
2004-08-23,657,Casa,Venta,Lleida,284,1589832,2005-02-28,Luisa
2004-08-23,658,Parking,Venta,Tarragona,286,1442870,2005-08-09,Pedro
2004-08-23,660,Piso,Venta,Tarragona,176,1003552,2005-08-05,Carmen
2004-08-23,661,Local,Venta,Girona,278,1730550,2004-12-09,María
2004-08-26,666,Suelo,Venta,Lleida,271,1457980,2005-05-09,Luisa
2004-08-26,667,Oficina,Venta,Barcelona,116,651920,2005-05-09,María
2004-08-27,668,Parking,Venta,Barcelona,195,1513005,2005-01-21,Pedro
2004-08-27,669,Parking,Venta,Tarragona,290,1747830,2005-01-14,Luisa
2004-08-28,670,Industrial,Venta,Barcelona,289,2188597,2005-04-27,María
2004-08-29,673,Industrial,Venta,Barcelona,67,479318,2005-04-03,Luisa
2004-08-29,674,Parking,Venta,Girona,152,1392168,2005-08-04,Pedro
2004-08-29,676,Casa,Venta,Girona,47,311563,2004-12-27,Carmen
2004-08-30,678,Industrial,Venta,Barcelona,225,1239300,2005-01-29,María
2004-08-30,679,Suelo,Venta,Tarragona,113,1074969,2005-04-16,Joaquín
2004-08-30,682,Oficina,Venta,Lleida,274,1577692,2005-05-11,Joaquín
2004-08-31,684,Parking,Venta,Tarragona,247,2285244,2005-03-07,María
2004-08-31,685,Piso,Venta,Girona,97,662316,2005-04-27,Carmen
2004-09-01,688,Suelo,Venta,Lleida,163,688838,2004-12-13,Luisa
2004-09-02,689,Parking,Venta,Girona,64,622144,2005-07-05,María
2004-09-02,692,Oficina,Venta,Lleida,177,1022883,2005-04-29,María
2004-09-03,693,Suelo,Venta,Barcelona,269,1722407,2004-12-21,Jesús
2004-09-03,695,Local,Venta,Lleida,205,1524585,2005-05-02,Pedro
2004-09-06,701,Casa,Venta,Girona,225,2023200,2004-12-27,Joaquín
2004-09-07,703,Casa,Venta,Tarragona,160,1341120,2005-07-25,María
2004-09-08,707,Industrial,Venta,Girona,215,1713120,2005-05-27,Carmen
2004-09-08,708,Industrial,Venta,Tarragona,158,1124012,2005-05-03,Pedro
2004-09-09,710,Parking,Venta,Lleida,274,1291636,2005-05-24,María
2004-09-10,711,Casa,Venta,Tarragona,289,2114035,2004-12-14,Luisa
2004-09-10,713,Casa,Venta,Barcelona,73,688463,2005-08-08,Luisa
2004-09-11,719,Oficina,Venta,Tarragona,283,1565839,2005-06-15,Pedro
