Tipo,Referencia,Fecha Alta,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
Piso,149,2004-02-29,Venta,Lleida,249,1492506,2005-02-12,Luisa
Oficina,152,2004-03-02,Venta,Tarragona,172,1063648,2005-02-13,María
Piso,153,2004-03-02,Venta,Lleida,68,434656,2004-07-13,María
Oficina,157,2004-03-03,Venta,Tarragona,202,1891932,2004-10-02,María
Local,159,2004-03-04,Venta,Lleida,106,563178,2004-08-01,Pedro
Casa,160,2004-03-04,Venta,Tarragona,211,875228,2004-07-23,María
Suelo,161,2004-03-04,Venta,Tarragona,165,1305480,2004-07-29,Jesús
Local,163,2004-03-05,Venta,Tarragona,266,1161090,2004-11-23,Carmen
Industrial,165,2004-03-05,Venta,Tarragona,104,1001104,2004-10-11,Luisa
Oficina,166,2004-03-06,Venta,Tarragona,250,2275500,2004-07-29,Luisa
Suelo,168,2004-03-06,Venta,Lleida,221,1842035,2004-10-15,Joaquín
Local,175,2004-03-10,Venta,Barcelona,52,416936,2004-08-25,Carmen
Suelo,177,2004-03-11,Venta,Tarragona,148,1431012,2004-09-01,Jesús
Local,178,2004-03-11,Venta,Tarragona,118,513300,2004-10-26,María
Industrial,179,2004-03-12,Venta,Barcelona,156,848328,2005-02-27,Jesús
Oficina,181,2004-03-12,Venta,Tarragona,42,367584,2004-08-11,Joaquín
Suelo,184,2004-03-14,Venta,Tarragona,273,1447992,2004-10-24,Pedro
Industrial,185,2004-03-15,Venta,Barcelona,265,2109930,2004-08-27,María
Casa,188,2004-03-16,Venta,Lleida,63,537264,2005-02-08,Carmen
Suelo,193,2004-03-18,Venta,Tarragona,59,453651,2004-10-07,María
Piso,197,2004-03-20,Venta,Tarragona,87,519738,2005-01-13,Carmen
Oficina,199,2004-03-21,Venta,Lleida,177,842343,2005-03-10,María
Parking,200,2004-03-22,Venta,Tarragona,281,2108343,2004-09-26,Pedro
Casa,208,2004-03-23,Venta,Lleida,156,1369680,2004-09-27,Pedro
Parking,209,2004-03-24,Venta,Lleida,167,1643948,2004-09-21,María
Industrial,216,2004-03-27,Venta,Tarragona,263,1494892,2005-02-02,María
Oficina,224,2004-03-31,Venta,Tarragona,192,1032000,2004-08-21,Luisa
Casa,227,2004-04-01,Venta,Lleida,179,1670965,2004-09-09,Luisa
Oficina,229,2004-04-01,Venta,Tarragona,117,739206,2005-01-25,Carmen
Oficina,232,2004-04-03,Venta,Tarragona,212,1479548,2004-11-03,María
Suelo,235,2004-04-03,Venta,Lleida,126,848358,2004-11-02,Pedro
Piso,237,2004-04-05,Venta,Tarragona,262,1748850,2004-10-07,Pedro
Parking,240,2004-04-06,Venta,Barcelona,164,1298716,2004-12-03,Luisa
Local,241,2004-04-06,Venta,Lleida,260,2038660,2004-07-26,Carmen
Suelo,242,2004-04-07,Venta,Barcelona,69,656535,2004-08-16,Jesús
Local,243,2004-04-07,Venta,Lleida,298,1870546,2005-03-31,Luisa
Casa,245,2004-04-08,Venta,Barcelona,239,1176597,2004-07-07,Joaquín
Industrial,249,2004-04-09,Venta,Tarragona,223,2026401,2004-12-13,Joaquín
Suelo,251,2004-04-09,Venta,Lleida,124,1130632,2005-01-22,Pedro
Parking,253,2004-04-10,Venta,Tarragona,106,567206,2004-08-08,María
Parking,259,2004-04-11,Venta,Tarragona,138,1183212,2005-02-26,Luisa
Parking,265,2004-04-14,Venta,Barcelona,105,927255,2004-11-21,Luisa
Parking,269,2004-04-15,Venta,Lleida,52,446888,2004-09-01,María
Suelo,272,2004-04-15,Venta,Lleida,270,2409210,2004-09-03,Carmen
Parking,277,2004-04-17,Venta,Barcelona,209,2038586,2005-01-06,Jesús
Oficina,280,2004-04-18,Venta,Barcelona,154,881804,2004-08-25,Pedro
Industrial,286,2004-04-19,Venta,Barcelona,65,523770,2005-01-24,Jesús
Suelo,289,2004-04-20,Venta,Lleida,163,895359,2005-02-17,Pedro
Parking,292,2004-04-21,Venta,Barcelona,54,258444,2005-03-08,Pedro
Industrial,298,2004-04-23,Venta,Barcelona,106,600596,2004-11-23,Luisa
Piso,306,2004-04-27,Venta,Lleida,142,1055912,2004-09-28,Jesús
Industrial,307,2004-04-27,Venta,Lleida,196,1645616,2005-04-14,Carmen
Industrial,310,2004-04-28,Venta,Lleida,121,792792,2004-09-23,Pedro
Suelo,311,2004-04-28,Venta,Lleida,61,605425,2004-12-29,Carmen
Piso,319,2004-05-02,Venta,Tarragona,123,961368,2004-09-04,Luisa
Suelo,322,2004-05-03,Venta,Barcelona,42,255906,2004-11-09,María
Parking,323,2004-05-03,Venta,Barcelona,237,1592166,2004-10-15,María
Suelo,327,2004-05-04,Venta,Tarragona,180,1022040,2005-03-28,Jesús
Suelo,328,2004-05-04,Venta,Barcelona,273,1369368,2005-04-17,Jesús
Industrial,329,2004-05-04,Venta,Lleida,285,1922325,2004-11-11,María
Piso,333,2004-05-06,Venta,Barcelona,110,803000,2004-08-25,Jesús
Piso,335,2004-05-07,Venta,Lleida,148,634920,2005-04-27,Joaquín
Suelo,340,2004-05-10,Venta,Lleida,99,783783,2004-12-01,Jesús
Casa,341,2004-05-10,Venta,Tarragona,229,1990697,2004-11-02,Pedro
Parking,343,2004-05-10,Venta,Barcelona,175,1178100,2004-11-12,Luisa
Casa,344,2004-05-10,Venta,Barcelona,146,1083466,2004-09-19,Jesús
Local,346,2004-05-11,Venta,Tarragona,202,1320676,2004-12-23,Pedro
Industrial,347,2004-05-11,Venta,Barcelona,173,851852,2004-09-18,Carmen
Parking,349,2004-05-12,Venta,Tarragona,234,1398852,2004-11-01,María
Casa,352,2004-05-14,Venta,Tarragona,241,2060550,2004-10-10,Luisa
Piso,358,2004-05-15,Venta,Barcelona,131,1180048,2004-11-04,Joaquín
Parking,359,2004-05-15,Venta,Lleida,130,1176630,2005-03-18,Jesús
Local,360,2004-05-16,Venta,Barcelona,156,896220,2005-03-19,Luisa
Local,361,2004-05-17,Venta,Lleida,291,1505925,2005-03-10,Luisa
Casa,362,2004-05-18,Venta,Lleida,141,732495,2004-12-02,Luisa
Local,364,2004-05-18,Venta,Lleida,267,1257036,2004-12-26,Luisa
Oficina,366,2004-05-18,Venta,Lleida,137,961192,2005-05-10,Jesús
Oficina,371,2004-05-20,Venta,Barcelona,230,1109980,2004-12-08,Luisa
Local,375,2004-05-22,Venta,Tarragona,230,1398630,2005-04-10,María
Local,380,2004-05-25,Venta,Lleida,269,2586704,2005-03-27,Carmen
Parking,384,2004-05-26,Venta,Barcelona,200,1823400,2004-10-20,Joaquín
Parking,385,2004-05-26,Venta,Barcelona,197,1746405,2005-03-20,Luisa
Oficina,387,2004-05-27,Venta,Barcelona,119,486472,2004-09-04,Joaquín
Parking,397,2004-06-01,Venta,Barcelona,177,933321,2005-05-10,Joaquín
Industrial,399,2004-06-01,Venta,Tarragona,65,483860,2005-01-24,Pedro
Parking,400,2004-06-01,Venta,Tarragona,208,1225120,2005-01-22,Carmen
Local,405,2004-06-03,Venta,Tarragona,224,1804992,2005-01-20,Jesús
Oficina,406,2004-06-03,Venta,Barcelona,207,1883700,2005-02-23,Carmen
Industrial,407,2004-06-03,Venta,Barcelona,162,1383480,2004-12-16,María
Suelo,414,2004-06-06,Venta,Lleida,56,425432,2004-09-23,Luisa
Parking,415,2004-06-06,Venta,Barcelona,46,386584,2004-12-17,Carmen
Suelo,417,2004-06-07,Venta,Barcelona,254,1381506,2005-04-14,Luisa
Suelo,421,2004-06-09,Venta,Barcelona,135,1209735,2005-05-05,Pedro
Parking,424,2004-06-09,Venta,Barcelona,261,1945755,2004-11-06,Jesús
Piso,427,2004-06-10,Venta,Barcelona,81,583362,2005-05-04,Carmen
Oficina,430,2004-06-11,Venta,Tarragona,249,1388175,2004-10-29,Luisa
Suelo,433,2004-06-13,Venta,Tarragona,144,852480,2005-06-04,Carmen
Suelo,436,2004-06-13,Venta,Tarragona,105,783195,2004-11-20,Carmen
Oficina,438,2004-06-14,Venta,Barcelona,158,1543344,2004-12-26,Luisa
Parking,440,2004-06-15,Venta,Barcelona,115,1077665,2004-09-19,Jesús
Parking,441,2004-06-16,Venta,Barcelona,102,790602,2004-11-09,Carmen
Parking,442,2004-06-16,Venta,Tarragona,211,872063,2005-02-26,Pedro
Parking,444,2004-06-17,Venta,Barcelona,102,1005312,2005-06-09,Luisa
Oficina,451,2004-06-18,Venta,Barcelona,54,406998,2005-04-25,Joaquín
Suelo,452,2004-06-19,Venta,Lleida,215,2097970,2004-11-13,Pedro
Piso,456,2004-06-20,Venta,Lleida,195,1797120,2004-12-31,María
Local,468,2004-06-24,Venta,Tarragona,215,870105,2005-04-02,Jesús
Parking,470,2004-06-25,Venta,Tarragona,191,875544,2004-11-01,Jesús
Casa,471,2004-06-25,Venta,Lleida,155,801350,2005-01-14,Pedro
Suelo,472,2004-06-25,Venta,Tarragona,297,1820016,2005-01-08,María
Suelo,480,2004-06-28,Venta,Lleida,58,530816,2004-10-07,Luisa
Industrial,482,2004-06-29,Venta,Tarragona,243,1983123,2005-06-16,María
Oficina,483,2004-06-29,Venta,Lleida,134,946710,2005-01-04,Carmen
Casa,487,2004-06-30,Venta,Lleida,261,2475063,2005-01-21,Carmen
Casa,489,2004-07-01,Venta,Tarragona,60,253920,2005-01-30,Luisa
Local,492,2004-07-03,Venta,Lleida,282,1298328,2005-03-10,Jesús
Piso,494,2004-07-03,Venta,Barcelona,274,1729762,2005-07-03,Luisa
Oficina,495,2004-07-03,Venta,Barcelona,268,2578696,2005-06-28,Luisa
Casa,499,2004-07-04,Venta,Barcelona,61,531432,2005-05-22,Joaquín
Casa,501,2004-07-05,Venta,Lleida,229,965006,2005-02-02,Pedro
Piso,503,2004-07-05,Venta,Barcelona,72,647352,2005-06-07,María
Oficina,504,2004-07-05,Venta,Lleida,186,1216254,2005-04-09,María
Industrial,505,2004-07-05,Venta,Tarragona,172,860172,2005-05-16,Luisa
Local,508,2004-07-05,Venta,Barcelona,271,2297538,2004-11-22,Jesús
Parking,509,2004-07-06,Venta,Tarragona,80,428240,2005-02-01,Pedro
Industrial,511,2004-07-06,Venta,Lleida,40,258560,2005-03-22,Jesús
Casa,514,2004-07-07,Venta,Tarragona,76,741228,2004-12-28,Luisa
Parking,521,2004-07-09,Venta,Barcelona,105,740355,2004-12-08,Luisa
Casa,522,2004-07-09,Venta,Lleida,223,1293400,2005-03-03,Carmen
Parking,525,2004-07-10,Venta,Lleida,280,1249360,2005-01-09,Pedro
Local,530,2004-07-12,Venta,Lleida,86,446856,2005-06-12,María
Parking,533,2004-07-13,Venta,Tarragona,72,606024,2005-04-12,Carmen
Oficina,542,2004-07-16,Venta,Barcelona,182,1514968,2004-10-24,María
Industrial,543,2004-07-16,Venta,Tarragona,101,564186,2005-01-21,Pedro
Oficina,544,2004-07-17,Venta,Tarragona,79,694331,2005-03-10,Carmen
Local,545,2004-07-18,Venta,Lleida,82,419348,2005-03-12,Jesús
Industrial,546,2004-07-20,Venta,Lleida,65,628095,2005-03-08,María
Parking,548,2004-07-20,Venta,Barcelona,286,2330042,2004-10-21,Carmen
Local,552,2004-07-21,Venta,Barcelona,125,804625,2005-06-26,Carmen
Oficina,553,2004-07-21,Venta,Barcelona,209,1568754,2004-12-15,Pedro
Parking,554,2004-07-21,Venta,Barcelona,141,867009,2004-11-21,Joaquín
Suelo,556,2004-07-22,Venta,Lleida,57,567492,2005-02-08,Carmen
Piso,563,2004-07-25,Venta,Barcelona,237,1272216,2005-04-27,Jesús
Suelo,565,2004-07-25,Venta,Barcelona,147,917868,2004-11-15,Joaquín
Local,567,2004-07-26,Venta,Barcelona,98,469910,2005-01-08,Joaquín
Local,568,2004-07-26,Venta,Lleida,153,639999,2005-05-11,Luisa
Parking,573,2004-07-28,Venta,Tarragona,243,1038825,2004-12-14,Jesús
Casa,576,2004-07-29,Venta,Barcelona,54,435348,2005-02-20,Pedro
Oficina,577,2004-07-29,Venta,Barcelona,154,889658,2005-06-22,Joaquín
Parking,580,2004-07-30,Venta,Tarragona,226,1634884,2005-07-20,María
Casa,581,2004-07-30,Venta,Tarragona,230,1742020,2004-11-16,Jesús
Industrial,582,2004-07-31,Venta,Lleida,290,2584480,2004-11-22,Jesús
Local,583,2004-07-31,Venta,Tarragona,297,1767744,2005-03-23,Pedro
Oficina,589,2004-08-02,Venta,Tarragona,138,1372686,2005-06-17,Carmen
Suelo,590,2004-08-03,Venta,Tarragona,95,627570,2005-03-16,Carmen
Suelo,593,2004-08-04,Venta,Tarragona,213,1234974,2005-06-23,Carmen
Industrial,595,2004-08-04,Venta,Barcelona,262,1343798,2005-04-15,Jesús
Parking,596,2004-08-04,Venta,Lleida,62,358360,2005-07-23,Luisa
Casa,597,2004-08-05,Venta,Lleida,71,323760,2005-03-15,María
Casa,598,2004-08-06,Venta,Lleida,94,735456,2005-05-02,María
Parking,607,2004-08-10,Venta,Barcelona,49,418019,2005-02-22,Pedro
Suelo,608,2004-08-11,Venta,Lleida,210,1117620,2005-05-12,Carmen
Suelo,609,2004-08-11,Venta,Lleida,287,1790880,2004-11-18,Pedro
Local,610,2004-08-11,Venta,Barcelona,127,1058545,2005-01-23,Joaquín
Casa,611,2004-08-11,Venta,Barcelona,294,2658936,2005-06-21,Luisa
Industrial,613,2004-08-11,Venta,Barcelona,225,1879200,2004-11-19,Pedro
Local,615,2004-08-12,Venta,Lleida,283,1992320,2005-04-07,María
Piso,617,2004-08-13,Venta,Lleida,172,1283980,2005-01-27,Carmen
Industrial,621,2004-08-14,Venta,Tarragona,223,2171128,2005-03-23,Carmen
Piso,622,2004-08-14,Venta,Barcelona,123,1116348,2005-06-29,Luisa
Local,623,2004-08-15,Venta,Tarragona,72,577656,2005-07-30,María
Industrial,624,2004-08-15,Venta,Tarragona,154,1122352,2005-05-11,Jesús
Casa,638,2004-08-18,Venta,Tarragona,116,915704,2005-01-27,María
Industrial,645,2004-08-20,Venta,Tarragona,227,1917696,2005-02-22,Joaquín
Piso,647,2004-08-21,Venta,Barcelona,67,346256,2005-05-18,Luisa
Parking,650,2004-08-22,Venta,Lleida,80,777360,2005-04-21,Carmen
Piso,653,2004-08-22,Venta,Tarragona,147,730149,2004-12-25,Carmen
Oficina,656,2004-08-23,Venta,Tarragona,252,1773072,2005-04-01,Luisa
Casa,657,2004-08-23,Venta,Lleida,284,1589832,2005-02-28,Luisa
Parking,658,2004-08-23,Venta,Tarragona,286,1442870,2005-08-09,Pedro
Piso,660,2004-08-23,Venta,Tarragona,176,1003552,2005-08-05,Carmen
Suelo,666,2004-08-26,Venta,Lleida,271,1457980,2005-05-09,Luisa
Oficina,667,2004-08-26,Venta,Barcelona,116,651920,2005-05-09,María
Parking,668,2004-08-27,Venta,Barcelona,195,1513005,2005-01-21,Pedro
Parking,669,2004-08-27,Venta,Tarragona,290,1747830,2005-01-14,Luisa
Industrial,670,2004-08-28,Venta,Barcelona,289,2188597,2005-04-27,María
Industrial,673,2004-08-29,Venta,Barcelona,67,479318,2005-04-03,Luisa
Industrial,678,2004-08-30,Venta,Barcelona,225,1239300,2005-01-29,María
Suelo,679,2004-08-30,Venta,Tarragona,113,1074969,2005-04-16,Joaquín
Oficina,682,2004-08-30,Venta,Lleida,274,1577692,2005-05-11,Joaquín
Parking,684,2004-08-31,Venta,Tarragona,247,2285244,2005-03-07,María
Suelo,688,2004-09-01,Venta,Lleida,163,688838,2004-12-13,Luisa
Oficina,692,2004-09-02,Venta,Lleida,177,1022883,2005-04-29,María
Suelo,693,2004-09-03,Venta,Barcelona,269,1722407,2004-12-21,Jesús
Local,695,2004-09-03,Venta,Lleida,205,1524585,2005-05-02,Pedro
Casa,703,2004-09-07,Venta,Tarragona,160,1341120,2005-07-25,María
Industrial,708,2004-09-08,Venta,Tarragona,158,1124012,2005-05-03,Pedro
Parking,710,2004-09-09,Venta,Lleida,274,1291636,2005-05-24,María
Casa,711,2004-09-10,Venta,Tarragona,289,2114035,2004-12-14,Luisa
Casa,713,2004-09-10,Venta,Barcelona,73,688463,2005-08-08,Luisa
Oficina,719,2004-09-11,Venta,Tarragona,283,1565839,2005-06-15,Pedro
Casa,720,2004-09-11,Venta,Tarragona,226,2216608,2005-07-09,Luisa
Industrial,721,2004-09-12,Venta,Tarragona,44,266596,2005-04-23,Luisa
Suelo,728,2004-09-16,Venta,Barcelona,139,585746,2005-05-03,Pedro
Suelo,732,2004-09-16,Venta,Tarragona,117,652743,2004-12-23,Pedro
Piso,734,2004-09-17,Venta,Lleida,85,644470,2005-06-22,María
Industrial,736,2004-09-19,Venta,Barcelona,112,840560,2005-06-29,Pedro
Piso,739,2004-09-20,Venta,Barcelona,250,1527750,2005-02-10,Luisa
Parking,741,2004-09-21,Venta,Tarragona,126,1184274,2005-07-28,María
Suelo,742,2004-09-22,Venta,Barcelona,218,1330236,2004-12-27,Pedro
Local,743,2004-09-22,Venta,Lleida,56,542864,2005-09-08,María
Casa,744,2004-09-22,Venta,Barcelona,99,538065,2005-06-19,Jesús
Suelo,745,2004-09-22,Venta,Lleida,83,445295,2005-01-30,Pedro
Local,749,2004-09-23,Venta,Lleida,114,679554,2005-09-16,Pedro
Local,752,2004-09-25,Venta,Barcelona,182,1509872,2005-08-05,Luisa
Local,753,2004-09-25,Venta,Lleida,67,399655,2005-08-13,Luisa
Oficina,755,2004-09-25,Venta,Tarragona,235,2202655,2005-04-16,Pedro
Industrial,757,2004-09-26,Venta,Barcelona,42,306726,2005-06-16,Jesús
Piso,758,2004-09-26,Venta,Barcelona,272,1535168,2005-07-26,Luisa
Parking,762,2004-09-26,Venta,Barcelona,48,371712,2005-08-14,María
Casa,769,2004-10-02,Venta,Barcelona,159,1162131,2005-08-25,Pedro
Oficina,770,2004-10-04,Venta,Lleida,185,1343840,2005-04-17,Carmen
Suelo,772,2004-10-04,Venta,Barcelona,277,1363948,2005-01-02,Jesús
Suelo,773,2004-10-04,Venta,Lleida,59,484744,2005-05-27,Joaquín
Local,775,2004-10-05,Venta,Lleida,204,1606500,2005-07-25,Carmen
Parking,776,2004-10-05,Venta,Lleida,76,411160,2005-02-15,Joaquín
Local,780,2004-10-06,Venta,Tarragona,185,1607280,2005-03-28,Carmen
Parking,786,2004-10-06,Venta,Lleida,224,913248,2005-07-03,Jesús
Casa,787,2004-10-06,Venta,Barcelona,279,2064879,2005-05-07,María
Piso,789,2004-10-07,Venta,Barcelona,251,1781849,2005-07-23,Luisa
Piso,790,2004-10-07,Venta,Tarragona,108,647460,2005-03-10,Luisa
Piso,792,2004-10-08,Venta,Tarragona,292,1565120,2005-10-02,Joaquín
Piso,793,2004-10-08,Venta,Lleida,88,507320,2005-09-06,María
Oficina,794,2004-10-10,Venta,Tarragona,277,1522946,2005-03-09,Joaquín
Oficina,797,2004-10-11,Venta,Barcelona,255,1442280,2005-05-04,Jesús
Suelo,802,2004-10-13,Venta,Lleida,114,1106028,2005-02-27,María
Casa,809,2004-10-15,Venta,Tarragona,222,1292484,2005-10-01,Pedro
Industrial,810,2004-10-15,Venta,Barcelona,51,334305,2005-09-25,Carmen
Industrial,811,2004-10-16,Venta,Lleida,214,1805518,2005-08-30,Carmen
Oficina,812,2004-10-16,Venta,Tarragona,236,2208252,2005-04-21,Pedro
Industrial,815,2004-10-17,Venta,Tarragona,182,1690416,2005-09-04,Pedro
Parking,819,2004-10-19,Venta,Barcelona,102,562632,2005-09-01,Luisa
Industrial,822,2004-10-20,Venta,Tarragona,259,1628333,2005-08-09,María
Parking,823,2004-10-20,Venta,Lleida,177,992793,2005-03-20,Carmen
Local,825,2004-10-21,Venta,Tarragona,172,866880,2005-09-01,Luisa
Industrial,827,2004-10-22,Venta,Tarragona,149,1391809,2005-08-06,Pedro
Local,829,2004-10-23,Venta,Lleida,152,1218888,2005-03-04,Joaquín
Local,830,2004-10-24,Venta,Lleida,143,1409551,2005-04-23,Jesús
Casa,834,2004-10-24,Venta,Barcelona,73,592103,2005-03-21,Jesús
Parking,835,2004-10-25,Venta,Lleida,168,1276800,2005-07-25,Carmen
Suelo,836,2004-10-25,Venta,Tarragona,274,2124596,2005-02-21,Carmen
Local,839,2004-10-27,Venta,Lleida,109,1029178,2005-07-13,Joaquín
Suelo,842,2004-10-29,Venta,Barcelona,109,942196,2005-08-31,Joaquín
Casa,843,2004-10-30,Venta,Barcelona,175,1712725,2005-03-12,Carmen
Industrial,845,2004-10-31,Venta,Tarragona,280,1485680,2005-10-23,Luisa
Casa,849,2004-11-01,Venta,Tarragona,120,1003320,2005-07-18,Carmen
Piso,853,2004-11-02,Venta,Tarragona,246,1708716,2005-03-16,Jesús
Industrial,856,2004-11-03,Venta,Barcelona,247,995657,2005-06-29,Jesús
Suelo,859,2004-11-03,Venta,Barcelona,65,397540,2005-05-22,Joaquín
Piso,860,2004-11-03,Venta,Lleida,288,2242656,2005-02-11,Jesús
Suelo,867,2004-11-07,Venta,Tarragona,82,418692,2005-09-10,Luisa
Suelo,868,2004-11-07,Venta,Tarragona,127,912114,2005-09-20,Joaquín
Industrial,870,2004-11-08,Venta,Tarragona,245,1951180,2005-04-06,Luisa
Piso,874,2004-11-09,Venta,Tarragona,80,458560,2005-02-22,Pedro
Industrial,876,2004-11-09,Venta,Tarragona,114,968658,2005-06-29,María
Oficina,879,2004-11-10,Venta,Lleida,147,1070307,2005-07-10,Pedro
Local,882,2004-11-11,Venta,Tarragona,220,970420,2005-08-28,Luisa
Oficina,890,2004-11-13,Venta,Tarragona,165,1598520,2005-10-11,Pedro
Casa,893,2004-11-14,Venta,Tarragona,228,1115604,2005-09-21,Pedro
Casa,898,2004-11-15,Venta,Barcelona,258,2449452,2005-03-14,Jesús
Local,899,2004-11-16,Venta,Barcelona,58,315810,2005-06-14,Jesús
Piso,904,2004-11-17,Venta,Barcelona,62,455762,2005-07-25,Pedro
Industrial,909,2004-11-18,Venta,Tarragona,127,1204595,2005-04-15,Carmen
Parking,917,2004-11-21,Venta,Tarragona,263,1719757,2005-08-28,Pedro
Industrial,920,2004-11-23,Venta,Barcelona,137,1242042,2005-08-08,Luisa
Suelo,921,2004-11-24,Venta,Tarragona,163,1273030,2005-06-16,Luisa
Oficina,922,2004-11-24,Venta,Lleida,217,1238202,2005-05-11,Joaquín
Suelo,923,2004-11-24,Venta,Tarragona,257,1440742,2005-07-09,Carmen
Local,930,2004-11-27,Venta,Tarragona,161,1604687,2005-03-05,Luisa
Suelo,931,2004-11-27,Venta,Lleida,223,2053384,2005-11-13,Carmen
Parking,932,2004-11-29,Venta,Lleida,121,754435,2005-04-23,Joaquín
Local,938,2004-12-01,Venta,Barcelona,158,766774,2005-03-24,Pedro
Industrial,940,2004-12-02,Venta,Barcelona,249,1662822,2005-07-11,Luisa
Industrial,941,2004-12-02,Venta,Barcelona,68,614244,2005-05-11,Jesús
Piso,943,2004-12-03,Venta,Tarragona,268,1273000,2005-06-16,Carmen
Piso,945,2004-12-04,Venta,Tarragona,162,894888,2005-03-26,Pedro
Suelo,947,2004-12-04,Venta,Lleida,103,474624,2005-03-25,Carmen
Oficina,951,2004-12-06,Venta,Barcelona,65,307255,2005-10-11,Carmen
Industrial,952,2004-12-07,Venta,Barcelona,142,954808,2005-06-18,María
Parking,954,2004-12-08,Venta,Lleida,68,330956,2005-09-18,María
Piso,956,2004-12-09,Venta,Tarragona,80,509840,2005-05-21,Carmen
Parking,959,2004-12-10,Venta,Tarragona,291,1872876,2005-05-16,María
Local,963,2004-12-11,Venta,Lleida,190,1593720,2005-05-28,Pedro
Piso,969,2004-12-14,Venta,Lleida,272,2581552,2005-10-22,Pedro
Piso,971,2004-12-14,Venta,Lleida,200,1145600,2005-09-22,María
Suelo,975,2004-12-16,Venta,Lleida,77,409563,2005-07-30,Pedro
Casa,978,2004-12-17,Venta,Tarragona,115,659295,2005-10-09,María
Suelo,980,2004-12-18,Venta,Barcelona,122,589016,2005-10-04,Joaquín
Industrial,987,2004-12-21,Venta,Lleida,258,1894752,2005-08-21,Carmen
